,deflator inflation - forecast,deflator inflation - actual,nominal interest
1970-01-01,3.410066666666667,5.062287936201293,6.8975
1971-01-01,3.3754999999999997,4.315079795384369,4.88
1972-01-01,3.559425,5.489079466232782,4.96
1973-01-01,4.24955,9.026252932166523,7.3116666666666665
1974-01-01,6.3983,9.217196526113103,8.181666666666667
1975-01-01,6.2467500000000005,5.519474678420444,6.758333333333333
1976-01-01,5.96685,6.199171397882464,5.8741666666666665
1977-01-01,5.9416,7.011671402655351,6.088333333333334
1978-01-01,6.6088249999999995,8.333770900062266,8.34
1979-01-01,7.86655,9.047727854981558,10.665000000000001
1980-01-01,8.96095,9.460918153533537,12.048333333333334
1981-01-01,8.265575,6.176112303497905,14.778333333333334
1982-01-01,6.1803,3.8937482585488237,12.275
1983-01-01,5.07675,3.6189815106960177,9.5725
1984-01-01,4.879425,3.166265745054453,10.887500000000001
1985-01-01,4.1274,2.0183486238532167,8.425833333333333
1986-01-01,3.053175,2.4702490018708945,6.4624999999999995
1987-01-01,3.84585,3.525464564187253,6.764166666666667
1988-01-01,4.064299999999999,3.9276737135402806,7.6525
1989-01-01,4.35975,3.7512464792428313,8.535
1990-01-01,4.12185,3.375333549727899,7.8825
1991-01-01,3.35565,2.2762490417081116,5.858333333333333
1992-01-01,2.9636750000000003,2.372313703600337,3.8891666666666667
1993-01-01,2.85535,2.1342888300358354,3.4341666666666666
1994-01-01,2.952525,2.0996034167175104,5.31
1995-01-01,2.686825,1.8282252582671799,5.948333333333333
1996-01-01,2.48365,1.7257125670753881,5.5125
1997-01-01,2.43825,1.1231458178592835,5.63
1998-01-01,2.042275,1.4137438003857916,5.051666666666667
1999-01-01,1.7414,2.2663188316117466,5.0775
2000-01-01,2.209225,2.2573503121647853,6.108333333333333
2001-01-01,2.00455,1.5522562685332808,3.480833333333333
2002-01-01,1.88255,1.9678535366075778,2.0016666666666665
2003-01-01,1.77335,2.6886450930035277,1.2441666666666666
2004-01-01,1.888425,3.13804224105223,1.8866666666666667
2005-01-01,2.1604,3.0873223892950774,3.6183333333333336
2006-01-01,2.27835,2.707894705539493,4.9325
2007-01-01,2.2333,1.9349589729632743,4.5216666666666665
2008-01-01,2.20125,0.6123869171885898,1.8225
2009-01-01,1.4154,1.2119552482771967,0.4708333333333334
2010-01-01,1.5530249999999999,2.0637966718175527,0.3183333333333333
2011-01-01,1.77345,1.8641043089477671,0.18166666666666667
2012-01-01,1.8844750000000001,1.699603470571498,0.17500000000000002
2013-01-01,1.853625,1.740316406775544,0.13166666666666668
2014-01-01,1.886425,0.9313758537179861,0.12083333333333333
2015-01-01,1.8008250000000001,0.94872809293578,0.3216666666666667
2016-01-01,1.876625,1.7887726459533182,0.6141666666666666
2017-01-01,2.013475,2.292864643232151,1.2008333333333334
2018-01-01,2.1444,1.6490244432984413,2.3316666666666666
2019-01-01,2.009025,1.3344618151565957,2.0533333333333332
2020-01-01,1.6723750000000002,4.550502078548235,0.37916666666666665
2021-01-01,2.2711,7.131444808068532,0.10416666666666667
2022-01-01,2.96455,3.7025817235075253,2.793333333333333
2023-01-01,2.498325,2.4840305029140364,5.0808333333333335
2024-01-01,2.16505,2.828855441739564,4.685833333333334
2025-01-01,2.5444,2.1758978365081783,3.9141666666666666
